C:\Documents and Settings\Amirreza Amighi\Desktop\Brooks\Experiments\PDPA\Brooks_PDPA\1mm splash\sizer test\324
"Diameter (um)", "AB Phase (deg)", "AC Phase (deg)", "Intensity (mV)", "Time Ch. 1 (sec)", "Time Ch. 2 (sec)"
276.162994, 112.236328, 26.455078, 40.736607, 24.898207, 24.898207
294.392761, 124.628906, 46.406250, 81.752235, 24.936142, 24.936140
301.352966, 133.857422, 49.570313, 197.544647, 24.978998, 24.978996
280.669067, 110.478516, 36.210938, 100.167412, 25.002157, 25.002155
287.162354, 115.224609, 42.978516, 159.598221, 25.098391, 25.098389
275.155640, 118.300781, 18.632813, 17.020090, 25.207230, 25.207230
314.419556, 146.601563, 60.029297, 113.839287, 25.252909, 25.252911
315.835938, 137.021484, 72.070313, 156.250000, 25.278891, 25.278891
295.293610, 140.185547, 32.431641, 15.625000, 25.339916, 25.339918
279.810516, 128.583984, 16.611328, 22.600447, 25.366604, 25.366606
339.477295, 134.736328, 116.279297, 97.656250, 25.445969, 25.445969
324.418121, 128.232422, 96.064453, 188.058029, 25.453007, 25.453009
266.279388, 102.568359, 18.544922, 10.323661, 25.467703, 25.467703
306.352203, 140.888672, 51.416016, 17.578125, 25.494408, 25.494410
303.728058, 124.365234, 63.281250, 16.462053, 25.511269, 25.511269
305.692810, 130.253906, 60.820313, 2.232143, 25.551243, 25.551245
267.276886, 104.677734, 18.281250, 49.665180, 25.553400, 25.553400
284.921173, 109.687500, 44.560547, 52.734375, 25.562525, 25.562527
283.695251, 115.048828, 37.001953, 43.526787, 25.679108, 25.679110
263.300842, 109.072266, 6.767578, 53.013393, 25.733856, 25.733856
285.882263, 124.804688, 31.113281, 37.388393, 25.750013, 25.750013
306.619812, 122.783203, 70.048828, 163.504471, 25.828690, 25.828690
308.986389, 138.691406, 58.271484, 16.462053, 25.846220, 25.846218
263.493378, 100.722656, 15.468750, 48.270088, 25.990891, 25.990892
276.045074, 131.484375, 7.031250, 66.685265, 26.033733, 26.033735
