"Diameter (um)", "AB Phase (deg)", "AC Phase (deg)", "Intensity (mV)", "Time Ch. 1 (sec)", "Time Ch. 2 (sec)"
382.509613, 161.718750, 148.447266, 497.767853, 25.551649, 25.551645
411.459503, 169.541016, -169.365234, 624.721008, 25.788214, 25.788164
434.084045, 178.066406, -138.779297, 520.647339, 25.799305, 25.799267
516.928528, -140.273438, -37.177734, 523.158508, 25.812059, 25.812059
427.309204, -168.925781, -163.564453, 616.629456, 25.922985, 25.922991
380.112976, 151.259766, 154.775391, 628.906250, 25.965427, 25.965454
442.211151, 173.583984, -120.234375, 559.430786, 26.396048, 26.396048
366.081970, 142.734375, 139.042969, 640.346008, 26.548809, 26.548805
396.495056, 167.255859, 167.080078, 164.062500, 26.781548, 26.781549
483.662048, -169.453125, -65.654297, 149.553574, 26.892958, 26.892956
479.414063, -159.169922, -83.144531, 208.426346, 26.959949, 26.959949
355.572784, 132.626953, 130.957031, 520.089294, 27.100731, 27.100729
579.742676, -124.189453, 55.283203, 273.158478, 27.384104, 27.384104
522.978699, -143.876953, -23.115234, 221.540176, 27.550694, 27.550695
508.979218, -151.435547, -39.814453, 575.055786, 27.564180, 27.564192
524.567261, -139.482422, -24.785156, 253.627228, 27.580513, 27.580513
547.353577, -148.886719, 23.994141, 594.587036, 27.628925, 27.628923
527.932556, -153.105469, -5.361328, 547.991089, 27.729338, 27.729336
400.957764, 159.697266, -177.714844, 448.939728, 27.777645, 27.777618
448.194702, 165.146484, -101.425781, 439.174103, 27.845346, 27.845346
481.583618, -162.597656, -76.025391, 470.703125, 27.892981, 27.892984
369.922333, 148.359375, 140.009766, 552.455383, 28.075148, 28.075165
380.690125, 153.017578, 153.984375, 216.517853, 28.154655, 28.154654
372.823120, 153.105469, 140.273438, 167.968750, 28.308744, 28.308746
350.248688, 141.152344, 113.203125, 194.196426, 28.375725, 28.375727
480.459869, -164.443359, -76.113281, 246.372772, 28.398170, 28.398170
498.409485, -173.144531, -36.386719, 530.691956, 28.481546, 28.481546
459.770050, -175.078125, -101.250000, 480.468750, 28.541025, 28.541002
400.204407, 175.166016, 165.585938, 194.475449, 28.557270, 28.557268
394.088593, 166.816406, 163.388672, 189.453125, 28.718084, 28.718084
487.118164, -165.937500, -63.105469, 257.812500, 28.721907, 28.721909
367.066895, 149.238281, 134.208984, 250.558029, 28.895088, 28.895084
445.021362, -160.576172, -141.240234, 460.658478, 29.113916, 29.113914
389.277466, 162.597656, 159.257813, 233.816971, 29.226097, 29.226097
339.008453, 130.957031, 103.974609, 536.272339, 29.322182, 29.322186
373.161438, 151.435547, 142.558594, 532.366089, 29.449354, 29.449354
373.284973, 155.478516, 138.779297, 200.892853, 29.543022, 29.543022
323.301361, 117.773438, 90.000000, 523.158508, 29.630184, 29.630182
334.958679, 131.660156, 96.240234, 514.229919, 29.637648, 29.637648
399.200134, 171.650391, 167.431641, 107.142860, 29.648695, 29.648693
351.456390, 132.275391, 124.189453, 576.729919, 29.649605, 29.649599
361.967224, 133.154297, 141.503906, 183.593750, 29.706745, 29.706745
356.498291, 142.382813, 122.783203, 203.404022, 29.730606, 29.730608
379.718353, 159.345703, 145.986328, 207.589279, 29.828833, 29.828829
458.518188, -173.408203, -105.117188, 243.303574, 30.070004, 30.070004
419.796814, 173.056641, -158.466797, 139.787949, 30.152559, 30.152559
554.863892, -125.156250, 13.271484, 408.482147, 30.245031, 30.245029
517.512390, -148.007813, -28.476563, 623.046875, 30.253986, 30.253998
513.204712, -162.333984, -21.621094, 264.229919, 30.541056, 30.541056
389.645782, 156.796875, 165.761719, 267.857147, 30.815121, 30.815119
394.692474, 155.654297, 175.605469, 265.625000, 30.829187, 30.829185
528.423584, -140.097656, -17.490234, 325.055817, 31.202641, 31.202637
404.841980, 165.058594, -176.308594, 561.662964, 31.246771, 31.246738
383.066956, 158.554688, 152.578125, 486.049103, 31.338961, 31.338970
432.885498, -177.187500, -145.634766, 243.861603, 31.399025, 31.399023
337.936218, 122.871094, 110.214844, 495.256683, 31.488764, 31.488764
378.454315, 150.556641, 152.578125, 526.506714, 31.496193, 31.496128
397.240387, 165.322266, 170.332031, 608.537964, 31.540552, 31.540524
395.155579, 168.222656, 163.828125, 649.553589, 31.610424, 31.610386
461.231415, -154.511719, -119.267578, 406.250000, 31.712477, 31.712477
457.511932, 179.472656, -99.667969, 620.256714, 31.728315, 31.728317
376.786255, 143.701172, 156.621094, 129.743301, 31.832304, 31.832306
440.880188, -178.681641, -130.341797, 481.584808, 32.043156, 32.043171
371.842499, 145.810547, 145.898438, 566.964294, 32.254234, 32.254211
389.378876, 160.927734, 161.103516, 529.017883, 32.284786, 32.284828
518.844482, -147.304688, -26.894531, 230.189728, 32.550858, 32.550858
424.522552, 178.945313, -156.181641, 585.658508, 32.727982, 32.727940
385.226166, 159.169922, 155.742188, 189.174103, 32.783100, 32.783100
360.298065, 133.242188, 138.515625, 527.064758, 32.794258, 32.794254
384.946075, 159.521484, 154.863281, 571.986633, 33.016708, 33.016678
460.496124, -162.246094, -112.851563, 448.939728, 33.368523, 33.368530
459.144989, -163.125000, -114.345703, 315.290192, 33.760658, 33.760658
401.254822, 160.048828, -177.539063, 639.787964, 34.032391, 34.032349
390.581329, 152.753906, 171.386719, 574.218750, 34.089645, 34.089619
605.477112, -113.818359, 89.472656, 546.037964, 34.096939, 34.096935
500.842834, -149.414063, -55.898438, 414.620544, 34.108063, 34.108067
454.187073, -179.472656, -106.523438, 217.912949, 34.601357, 34.601357
412.993896, 172.617188, -169.804688, 400.948669, 35.168995, 35.168983
374.428345, 150.468750, 145.722656, 141.741074, 35.332649, 35.332649
347.282990, 133.857422, 115.400391, 75.892860, 35.403999, 35.403999
362.032867, 146.689453, 128.056641, 529.575867, 35.561775, 35.561726
351.527069, 139.306641, 117.246094, 513.113831, 35.671936, 35.671913
375.527710, 154.687500, 143.437500, 192.243301, 36.144310, 36.144310
491.136749, -150.644531, -71.455078, 488.560272, 36.371433, 36.371426
496.482391, -155.566406, -57.304688, 447.823669, 36.456272, 36.456276
373.478760, 146.337891, 148.183594, 296.595978, 36.466572, 36.466564
439.009033, 172.089844, -124.277344, 248.883926, 36.570778, 36.570774
396.117645, 177.802734, 155.830078, 130.580353, 36.586288, 36.586288
439.980103, 161.630859, -112.148438, 426.339294, 36.593147, 36.593151
368.234314, 151.523438, 133.945313, 493.582581, 36.628056, 36.627991
470.406891, -164.443359, -93.515625, 393.136169, 36.664566, 36.664574
563.453552, -125.244141, 28.212891, 653.180786, 36.958588, 36.958588
460.053528, -166.113281, -109.775391, 260.044647, 36.971844, 36.971840
473.349182, -168.134766, -84.726563, 324.497772, 37.023945, 37.023937
382.565430, 154.511719, 155.742188, 437.500000, 37.024628, 37.024574
417.808868, 172.880859, -161.718750, 249.720978, 37.078964, 37.078964
376.110626, 155.039063, 144.052734, 353.515625, 37.133160, 37.133160
401.596222, 155.917969, -172.792969, 230.189728, 37.243217, 37.243217
366.228516, 132.890625, 149.062500, 77.845985, 37.427944, 37.427944
449.000183, 168.046875, -102.919922, 342.912933, 37.599106, 37.599106
380.018250, 155.566406, 150.292969, 544.363831, 37.619064, 37.619076
394.509033, 174.023438, 156.884766, 156.808029, 37.715790, 37.715790
379.217316, 150.732422, 153.720703, 196.149551, 37.748466, 37.748466
351.625824, 138.955078, 117.773438, 507.533478, 37.769409, 37.769367
378.397766, 145.283203, 157.763672, 433.035706, 38.006802, 38.006809
446.009949, 171.298828, -111.357422, 336.495544, 38.062801, 38.062801
589.593323, -112.412109, 60.556641, 507.533478, 38.251755, 38.251751
371.169189, 160.927734, 129.638672, 473.772308, 38.257790, 38.257793
423.585907, 176.923828, -155.830078, 210.379471, 38.271046, 38.271046
342.001801, 123.398438, 116.718750, 556.919617, 38.293579, 38.293579
384.649048, 162.685547, 151.171875, 237.444199, 38.589630, 38.589630
342.346558, 130.781250, 109.951172, 472.098206, 38.787567, 38.787563
381.925262, 140.888672, 168.310547, 145.926346, 38.954903, 38.954903
389.993713, 151.083984, 172.001953, 612.723206, 39.077030, 39.077030
369.595917, 150.556641, 137.285156, 120.256699, 39.144207, 39.144207
398.357697, 164.794922, 172.792969, 607.421875, 39.387562, 39.387589
369.772766, 141.064453, 147.041016, 304.129456, 39.396202, 39.396202
