"Diameter (um)", "AB Phase (deg)", "AC Phase (deg)", "Intensity (mV)"
338.745544, 144.931641, 146.513672, 88.448662
360.421631, 169.013672, 163.476563, 101.004463
377.857025, -179.736328, -174.726563, 159.040176
Fillin, -169.365234, 165.849609, 24.553572
Fillin, 110.742188, 138.779297, 22.321428
353.822021, 143.173828, 176.835938, 87.890625
Fillin, 136.933594, -130.253906, 63.058037
315.449005, 154.687500, 92.548828, 12.834822
280.028900, 126.474609, 53.525391, 28.180803
278.727203, 113.466797, 64.072266, 42.968750
265.243835, 101.777344, 50.185547, 81.194199
298.810547, 145.195313, 70.488281, 122.209824
Fillin, 79.541016, 15.820313, 110.491074
295.039032, 122.871094, 85.605469, 50.223213
332.494110, 150.556641, 129.023438, 52.455357
313.095947, 139.833984, 102.919922, 64.453125
328.936096, 147.568359, 125.244141, 96.261162
301.007324, 124.277344, 95.537109, 96.540176
284.715302, 111.093750, 77.783203, 115.513390
319.944489, 140.273438, 115.488281, 127.232140
Fillin, 111.533203, 97.382813, 144.810272
356.466949, 153.808594, 171.210938, 29.017857
351.115326, 148.271484, 166.640625, 78.125000
298.938202, 132.714844, 83.232422, 32.087055
287.476532, 127.792969, 66.357422, 10.044642
290.776672, 124.716797, 75.673828, 13.671875
313.998993, 145.019531, 99.492188, 24.832590
319.338287, 147.744141, 106.787109, 27.622768
323.926544, 151.787109, 111.533203, 42.410713
330.637238, 133.681641, 142.382813, 70.591515
326.859619, 137.724609, 131.132813, 75.613838
330.747070, 138.867188, 137.373047, 104.352676
355.905029, 166.640625, 157.324219, 114.118301
334.677582, 150.468750, 133.242188, 17.299107
345.645630, 163.212891, 141.328125, 22.321428
358.165192, 155.742188, 172.617188, 40.457588
358.435059, 144.755859, -176.044922, 48.828125
360.092926, 149.853516, -177.978516, 58.314732
Fillin, 129.550781, 167.167969, 63.895088
356.275146, 156.708984, 167.958984, 72.544640
422.100586, 166.904297, -77.431641, 56.082588
Fillin, -167.783203, 70.488281, 2.232143
Fillin, 108.896484, 117.949219, 32.366070
365.208984, 161.191406, -179.560547, 35.993305
Fillin, -138.691406, -158.994141, 45.758930
Fillin, -173.847656, 175.253906, 46.875000
377.040344, 174.462891, -170.419922, 99.330360
Fillin, -167.343750, 169.892578, 31.250000
370.416504, 172.441406, 179.121094, 30.970982
343.917267, 134.208984, 167.080078, 42.689732
348.090698, 142.294922, 166.904297, 46.037945
345.154449, 149.677734, 153.896484, 63.616070
353.984650, 160.488281, 159.873047, 75.334824
291.756409, 127.353516, 74.794922, 0.000000
Fillin, 161.367188, 90.703125, 30.691965
315.192810, 142.207031, 104.589844, 38.783482
311.384338, 156.093750, 83.408203, 46.875000
Fillin, 161.718750, 95.185547, 43.526787
324.859680, 133.066406, 132.011719, 62.220982
325.868652, 152.490234, 114.521484, 79.799110
Fillin, 168.750000, 121.025391, 90.959824
308.933624, 131.396484, 103.447266, 102.120537
341.161285, 138.955078, 157.060547, 36.272320
Fillin, -175.693359, 156.269531, 58.593750
348.490662, 147.392578, 162.509766, 73.102676
Fillin, 90.615234, 84.111328, 0.000000
298.626801, 139.833984, 75.498047, 10.323661
Fillin, -169.101563, -167.431641, 51.060268
Fillin, -175.957031, 178.330078, 59.151787
349.560547, 149.677734, 162.246094, 84.821426
382.918182, 172.177734, -156.972656, 33.482143
Fillin, 63.544922, 55.458984, 28.459822
273.011200, 106.171875, 60.468750, 0.000000
Fillin, -178.242188, 101.250000, 18.694197
276.975311, 126.474609, 47.812500, 56.361607
299.771484, 142.119141, 75.410156, 66.685265
278.664124, 125.419922, 52.031250, 85.658485
271.530914, 122.431641, 41.484375, 98.772324
280.851959, 127.353516, 54.228516, 129.464279
321.115906, 152.138672, 105.908203, 167.689728
367.617950, 174.462891, 171.650391, 21.763393
422.544769, -168.134766, -101.601563, 22.321428
388.196838, -171.826172, -163.037109, 27.343750
401.778107, -171.562500, -137.548828, 41.015625
261.101318, 114.433594, 29.619141, 3.906250
289.441742, 131.923828, 65.917969, 0.279018
346.144043, 167.607422, 137.900391, 55.524555
319.769684, 136.142578, 119.267578, 61.662945
318.660858, 136.582031, 116.718750, 77.845985
351.124481, 160.751953, 154.160156, 82.031250
337.137238, 145.283203, 143.085938, 111.607140
271.727478, 110.566406, 53.701172, 20.647322
Fillin, 98.964844, 74.707031, 22.600447
296.039764, 118.388672, 92.021484, 29.575893
311.192749, 135.791016, 103.359375, 35.993305
333.451324, 138.427734, 142.998047, 39.062500
322.404175, 135.791016, 124.628906, 39.620537
333.664490, 157.412109, 124.365234, 35.156250
338.104279, 156.533203, 133.681641, 56.919643
326.504333, 127.441406, 140.712891, 44.084820
331.324371, 142.031250, 135.351563, 85.937500
364.363190, 166.289063, 173.759766, 106.026787
374.880371, 179.472656, -179.560547, 138.392853
287.056183, 135.000000, 58.359375, 11.439733
320.924072, 138.603516, 119.091797, 29.017857
325.924561, 151.083984, 116.015625, 32.924107
321.558014, 134.560547, 124.277344, 28.459822
348.337097, 157.412109, 152.226563, 46.875000
327.026367, 146.162109, 123.046875, 41.294643
336.475952, 142.998047, 144.140625, 48.828125
351.589172, 157.324219, 158.466797, 75.334824
355.479675, 159.609375, 163.564453, 87.611610
328.885651, 133.242188, 139.482422, 90.122765
325.142365, 131.660156, 133.945313, 123.604912
339.229767, 136.054688, 156.357422, 219.866074
290.593964, 134.296875, 65.830078, 23.995535
313.142975, 136.669922, 106.083984, 39.899555
294.311890, 121.640625, 85.429688, 38.783482
306.659241, 127.792969, 102.744141, 36.830357
319.904053, 135.878906, 119.794922, 62.779018
325.738831, 147.568359, 119.179688, 71.149551
321.396027, 138.076172, 120.410156, 86.774551
323.570374, 139.130859, 123.486328, 122.488838
306.016449, 123.574219, 105.732422, 117.745537
Fillin, 108.984375, 113.291016, 165.178574
306.379150, 124.101563, 105.908203, 24.274553
318.689545, 155.126953, 98.261719, 31.250000
333.161713, 156.093750, 124.716797, 69.196426
347.450745, 156.884766, 151.083984, 94.866074
270.315735, 105.380859, 56.250000, 11.160714
296.083069, 133.945313, 76.464844, 18.136160
326.954437, 154.160156, 114.873047, 25.669643
Fillin, 115.664063, 124.892578, 24.832590
353.148315, 143.789063, 174.990234, 21.484375
Fillin, 87.626953, 56.777344, 13.113839
320.019775, 157.939453, 97.910156, 28.459822
337.249390, 167.255859, 121.376953, 46.875000
299.079559, 137.109375, 79.101563, 50.223213
314.736237, 142.382813, 103.447266, 57.198662
309.042084, 133.945313, 101.162109, 65.848213
302.491486, 123.925781, 98.701172, 72.265625
317.919769, 141.152344, 110.742188, 82.868301
328.612976, 156.357422, 115.839844, 103.794640
347.496399, 157.939453, 150.117188, 148.158478
281.390869, 123.837891, 58.710938, 15.904017
Fillin, 90.000000, 26.542969, 29.854910
Fillin, 63.984375, -7.207031, 49.665180
283.439026, 109.335938, 77.167969, 11.160714
315.337067, 122.871094, 124.101563, 36.830357
365.278381, 157.412109, -175.693359, 39.341518
345.530212, 143.876953, 160.400391, 40.457588
317.782928, 132.714844, 119.003906, 33.482143
315.135468, 153.457031, 93.164063, 53.571430
326.183289, 139.482422, 128.144531, 49.107143
325.687744, 153.457031, 113.203125, 62.220982
315.643005, 126.738281, 120.849609, 65.011162
312.944122, 129.287109, 113.203125, 85.379463
350.523621, 156.708984, 157.060547, 97.377235
365.072784, 173.759766, 167.607422, 125.558037
377.839020, -175.429688, -179.121094, 41.294643
Fillin, -173.408203, 173.232422, 49.665180
346.180634, 158.642578, 146.865234, 67.801338
345.800293, 136.582031, 168.222656, 67.522324
Fillin, 105.644531, 125.068359, 102.120537
292.276215, 149.150391, 54.140625, 20.368303
292.911011, 118.652344, 85.781250, 25.669643
321.507141, 150.556641, 108.193359, 38.225445
327.696625, 135.791016, 134.648438, 41.015625
311.655060, 138.691406, 101.337891, 59.430805
320.125641, 148.095703, 108.017578, 53.571430
329.342743, 144.667969, 128.935547, 60.546875
304.249390, 123.310547, 102.656250, 65.569199
333.117828, 159.609375, 121.113281, 75.334824
